id,gender,code,validfrom,validto
1,male,1,2019-01-01 00:01:00+00,NULL
2,female,2,2019-01-01 00:01:00+00,NULL
3,agender,3,2019-01-01 00:01:00+00,NULL
4,androgyne,4,2019-01-01 00:01:00+00,NULL
5,bi-gender,5,2019-01-01 00:01:00+00,NULL
6,genderfluid,6,2019-01-01 00:01:00+00,NULL
7,genderflux,7,2019-01-01 00:01:00+00,NULL
8,nonbinary,8,2019-01-01 00:01:00+00,NULL
9,polygender,9,2019-01-01 00:01:00+00,NULL
10,transgender,10,2019-01-01 00:01:00+00,NULL
11,two-spirit,11,2019-01-01 00:01:00+00,NULL
12,vaguegender,12,2019-01-01 00:01:00+00,NULL
13,X-gender,13,2019-01-01 00:01:00+00,NULL
14,XTX,14,2019-01-01 00:01:00+00,NULL
15,FTM,15,2019-01-01 00:01:00+00,NULL
16,MTF,16,2019-01-01 00:01:00+00,NULL
